unitid,Year,UG FT,UG PT,UG total enrollment,UG total FTE ,GR FT,GR PT,GR total enrollment,GR total FTE,Total enrollment,Total FTE
100654,2002,4408,336,4744,4544,460,710,1170,717,5914,5261
100663,2002,7166,3335,10501,8512,3140,1938,5078,3841,15579,12353
100690,2002,281,13,294,286,116,137,253,173,547,459
100706,2002,3578,2020,5598,4393,571,876,1447,888,7045,5281
100724,2002,4526,599,5125,4768,192,721,913,453,6038,5221
100751,2002,13810,1631,15441,14468,2685,1458,4143,3213,19584,17681
100760,2002,1010,889,1899,1308,0,0,0,0,1899,1308
100812,2002,1113,1415,2528,1684,0,0,0,0,2528,1684
100830,2002,2606,1723,4329,3301,209,566,775,414,5104,3715
100858,2002,17711,1892,19603,18475,2210,1463,3673,2762,23276,21237
100919,2002,614,849,1463,899,0,0,0,0,1463,899
100937,2002,1282,34,1316,1295,50,41,91,66,1407,1361
100973,2002,150,107,257,186,0,0,0,0,257,186
101028,2002,1003,976,1979,1331,0,0,0,0,1979,1331
101073,2002,754,214,968,838,0,0,0,0,968,838
101107,2002,317,112,429,355,0,0,0,0,429,355
101116,2002,187,85,272,220,0,0,0,0,272,220
101143,2002,907,702,1609,1143,0,0,0,0,1609,1143
101161,2002,2147,1121,3268,2523,0,0,0,0,3268,2523
101189,2002,1661,618,2279,1904,178,123,301,245,2580,2149
101231,2002,273,,273,273,0,0,0,0,273,273
101240,2002,2861,2326,5187,3642,0,0,0,0,5187,3642
101286,2002,2532,1555,4087,3054,0,0,0,0,4087,3054
101295,2002,3171,2223,5394,3917,0,0,0,0,5394,3917
101301,2002,1072,621,1693,1280,0,0,0,0,1693,1280
101347,2002,817,530,1347,995,0,0,0,0,1347,995
101365,2002,332,119,451,379,0,0,0,0,451,379
101435,2002,560,34,594,573,0,0,0,0,594,573
101453,2002,49,85,134,82,1,12,13,6,147,88
101462,2002,486,326,812,595,0,0,0,0,812,595
101471,2002,465,139,604,512,0,0,0,0,604,512
101480,2002,5771,1553,7324,6398,442,1164,1606,863,8930,7261
101499,2002,947,441,1388,1095,0,0,0,0,1388,1095
101505,2002,2695,4223,6918,4113,0,0,0,0,6918,4113
101514,2002,3487,5112,8599,5203,0,0,0,0,8599,5203
101523,2002,469,619,1088,677,0,0,0,0,1088,677
101541,2002,300,63,363,325,0,0,0,0,363,325
101569,2002,1411,757,2168,1665,0,0,0,0,2168,1665
101587,2002,1469,152,1621,1530,187,194,381,257,2002,1787
101602,2002,553,209,762,623,0,0,0,0,762,623
101648,2002,198,,198,198,0,0,0,0,198,198
